hiv,factor,year,age,py,deaths
1,1,94,11,1,0
1,1,94,13,1,0
1,1,94,14,1.2,0
1,1,95,2,2.35,0
1,1,95,3,9.23,0
1,1,95,4,2.78,0
1,1,95,5,1.68,0
1,1,95,6,0.52,0
1,1,95,7,0.28,0
1,1,95,8,1.84,0
1,1,95,9,1.43,0
1,1,95,11,1.43,0
1,1,95,12,0.75,0
1,1,95,13,0.68,0
1,2,78,1,2.6,0
1,2,78,2,13.78,0
1,2,78,3,18.34,0
1,2,78,4,18.6,0
1,2,78,5,7.62,0
1,2,78,6,10.99,0
1,2,78,7,6.87,0
1,2,78,8,5.7,0
1,2,78,9,1.42,0
1,2,78,10,1,0
1,2,78,11,0.91,0
1,2,78,12,1.09,0
1,2,79,1,3.58,0
1,2,79,2,11.77,0
1,2,79,3,26.55,0
1,2,79,4,12.06,0
1,2,79,5,18.34,0
1,2,79,6,7.9,0
1,2,79,7,5.4,0
1,2,79,8,3,0
1,2,79,9,3,0
1,2,79,10,2.96,0
1,2,79,11,1,0
1,2,79,13,1,0
1,2,80,1,2.87,0
1,2,80,2,10,0
1,2,80,3,31.39,0
1,2,80,4,16.53,0
1,2,80,5,15.16,0
1,2,80,6,9.44,0
1,2,80,7,8.52,0
1,2,80,8,6.59,0
1,2,80,9,3.35,0
1,2,80,10,2.56,0
1,2,80,11,2.45,0
1,2,80,13,1,0
1,2,81,1,5.73,0
1,2,81,2,7.64,0
1,2,81,3,31.52,0
1,2,81,4,19.31,0
1,2,81,5,13.69,0
1,2,81,6,13.8,0
1,2,81,7,6.66,0
1,2,81,8,5.92,0
1,2,81,9,3.19,0
1,2,81,10,1.87,0
1,2,81,11,1.73,0
1,2,81,12,3,0
1,2,81,13,0.95,0
1,2,81,14,1,0
1,2,82,1,2.9,0
1,2,82,2,9.64,0
1,2,82,3,15.27,0
1,2,82,4,9.26,0
1,2,82,5,6.31,0
1,2,82,6,9.22,0
1,2,82,7,4.38,0
1,2,82,8,2.22,0
1,2,82,9,3.1,0
1,2,82,10,0.8,0
1,2,82,11,0.96,0
1,2,82,12,2.36,0
1,2,82,14,1,0
1,2,83,1,1.94,0
1,2,83,2,6.03,0
1,2,83,3,3.06,0
1,2,83,4,4.21,0
1,2,83,5,6.97,0
1,2,83,6,5.27,0
1,2,83,7,1.64,0
1,2,83,8,1,0
1,2,83,9,2,0
1,2,83,10,1,0
1,2,83,11,1,0
1,2,83,12,0.32,0
1,2,83,13,0.47,0
1,2,84,1,1,0
1,2,84,2,6.55,0
1,2,84,3,1.44,0
1,2,84,4,5.5,0
1,2,84,5,4.27,0
1,2,84,6,3.54,0
1,2,84,7,1.91,0
1,2,84,9,3.01,0
1,2,84,11,2.95,0
1,2,84,12,0.86,0
1,2,85,1,0.77,0
1,2,85,2,8.28,0
1,2,85,3,3.2,0
1,2,85,4,5.66,0
1,2,85,5,3.29,0
1,2,85,6,5.15,0
1,2,85,7,3.33,0
1,2,85,8,0.24,0
1,2,85,9,1.37,0
1,2,85,11,1,0
1,2,85,12,1,0
1,2,85,13,1,0
1,2,86,1,2,0
1,2,86,2,9.75,0
1,2,86,3,4.98,0
1,2,86,4,3.57,0
1,2,86,5,3.61,0
1,2,86,6,5.08,0
1,2,86,7,5,0
1,2,86,8,1,0
1,2,86,10,1,0
1,2,86,11,1,0
1,2,87,1,3.2,0
1,2,87,2,9.06,0
1,2,87,3,8.81,0
1,2,87,4,5,0
1,2,87,5,6,0
1,2,87,6,5.89,0
1,2,87,7,3.91,0
1,2,87,8,5.19,0
1,2,87,10,1,0
1,2,87,11,0.41,0
1,2,87,12,0.59,0
1,2,87,13,0.94,0
1,2,87,14,1,0
1,2,88,1,5.34,0
1,2,88,2,10.57,0
1,2,88,3,7.11,0
1,2,88,4,0.58,0
1,2,88,5,6.46,0
1,2,88,6,2.98,0
1,2,88,7,1.64,0
1,2,88,8,3.84,0
1,2,88,10,2,0
1,2,88,14,1,0
1,2,89,1,2.16,0
1,2,89,2,10.77,0
1,2,89,3,10.48,0
1,2,89,4,3.33,0
1,2,89,5,1.25,0
1,2,89,6,1,0
1,2,89,7,2.43,0
1,2,89,8,5.32,0
1,2,89,9,0.25,0
1,2,89,10,1,0
1,2,89,11,1,0
1,2,89,12,1,0
1,2,89,13,1,0
1,2,90,1,1,0
1,2,90,2,13,0
1,2,90,3,13.67,0
1,2,90,4,3.02,0
1,2,90,5,2.33,0
1,2,90,6,2.77,0
1,2,90,7,3.45,0
1,2,90,8,4.31,0
1,2,90,9,0.13,0
1,2,90,11,1,0
1,2,90,12,1,0
1,2,90,13,1,0
1,2,91,2,14.69,0
1,2,91,3,9.98,0
1,2,91,4,4.44,0
1,2,91,5,2.75,0
1,2,91,6,3.14,0
1,2,91,7,3.08,0
1,2,91,8,2.02,0
1,2,91,13,0.99,0
1,2,91,14,0,0
1,2,92,1,2.88,0
1,2,92,2,12.03,0
1,2,92,3,16.45,0
1,2,92,4,3.24,0
1,2,92,5,2.97,0
1,2,92,6,0.53,0
1,2,92,7,5.92,0
1,2,92,8,2.82,0
1,2,92,9,2.21,0
1,2,92,10,2,0
1,2,92,12,0.41,0
1,2,92,13,1.6,0
1,2,93,1,0.91,0
1,2,93,2,12.21,0
1,2,93,3,13.49,0
1,2,93,4,5.8,0
1,2,93,5,3.11,0
1,2,93,6,3,0
1,2,93,7,3.11,0
1,2,93,8,4.61,0
1,2,93,9,2,0
1,2,93,10,1,0
1,2,93,11,2,0
1,2,94,2,5.15,0
1,2,94,3,8.53,0
1,2,94,4,3.87,0
1,2,94,5,2.14,0
1,2,94,6,2.48,0
1,2,94,8,2.1,0
1,2,94,9,1.93,0
1,2,94,10,0.9,0
1,2,94,11,0.61,0
1,2,94,14,0.08,0
1,2,95,1,0.39,0
1,2,95,2,2.17,0
1,2,95,3,3.03,0
1,2,95,4,1.11,0
1,2,95,5,0.86,0
1,2,95,6,0.02,0
1,2,95,7,0.34,0
1,2,95,8,0.25,0
1,2,95,9,0.43,0
1,2,95,11,1.17,0
1,3,78,1,19.88,0
1,3,78,2,25.06,0
1,3,78,3,17.02,0
1,3,78,4,21.97,0
1,3,78,5,13.07,0
1,3,78,6,18,0
1,3,78,7,8.15,0
1,3,78,8,5.5,0
1,3,78,9,3,0
1,3,78,10,2,0
1,3,78,11,2.88,0
1,3,78,12,1.11,0
1,3,79,1,19.28,0
1,3,79,2,27.11,0
1,3,79,3,18.36,0
1,3,79,4,24.54,0
1,3,79,5,16.43,0
1,3,79,6,21.91,0
1,3,79,7,9.07,0
1,3,79,8,4.98,0
1,3,79,9,3.93,0
1,3,79,10,3,0
1,3,79,11,1.12,0
1,3,79,12,0.87,0
1,3,79,13,1,0
1,3,80,1,26.59,0
1,3,80,2,33.9,0
1,3,80,3,30.58,0
1,3,80,4,28.98,0
1,3,80,5,32.72,0
1,3,80,6,31.93,0
1,3,80,7,13.71,0
1,3,80,8,9.01,0
1,3,80,9,5.05,0
1,3,80,10,3.01,0
1,3,80,11,2,0
1,3,80,12,4.01,0
1,3,80,13,1,0
1,3,81,1,31.19,0
1,3,81,2,36.14,0
1,3,81,3,24.73,0
1,3,81,4,24.22,0
1,3,81,5,29.26,0
1,3,81,6,31.54,0
1,3,81,7,17.65,0
1,3,81,8,8.86,0
1,3,81,9,7.97,0
1,3,81,10,3.41,0
1,3,81,11,2,0
1,3,82,1,20.27,0
1,3,82,2,26.06,0
1,3,82,3,16.18,0
1,3,82,4,15.02,0
1,3,82,5,19.44,0
1,3,82,6,28.37,0
1,3,82,7,16.51,0
1,3,82,8,10.18,0
1,3,82,9,3.65,0
1,3,82,10,2.3,0
1,3,82,11,2.59,0
1,3,82,12,1.61,0
1,3,82,14,1,0
1,3,83,1,7.1,0
1,3,83,2,10.58,0
1,3,83,3,7.37,0
1,3,83,4,8.37,0
1,3,83,5,7.61,0
1,3,83,6,12.53,0
1,3,83,7,11.3,0
1,3,83,8,2.39,0
1,3,83,9,3.53,0
1,3,83,11,3.45,0
1,3,83,12,2,0
1,3,84,1,5.56,0
1,3,84,2,4.79,0
1,3,84,3,7.71,0
1,3,84,4,3.03,0
1,3,84,5,5.22,0
1,3,84,6,7.82,0
1,3,84,7,10.48,0
1,3,84,8,3.39,0
1,3,84,9,0.59,0
1,3,84,10,1.73,0
1,3,84,12,0.45,0
1,3,84,13,0.56,0
1,3,85,1,9.93,0
1,3,85,2,4.75,0
1,3,85,3,7.22,0
1,3,85,4,2.83,0
1,3,85,5,2,0
1,3,85,6,5.26,0
1,3,85,7,9.53,0
1,3,85,8,4.87,0
1,3,85,9,0.16,0
1,3,85,10,2.84,0
1,3,85,11,0.64,0
1,3,85,12,0.65,0
1,3,85,13,2,0
1,3,86,1,23.23,0
1,3,86,2,10.47,1
1,3,86,3,8.64,0
1,3,86,4,2.35,0
1,3,86,5,2.69,0
1,3,86,6,5.3,0
1,3,86,7,8.99,0
1,3,86,8,5,0
1,3,86,9,1,0
1,3,86,10,6,0
1,3,86,12,1,0
1,3,86,14,2,0
1,3,87,1,19.27,0
1,3,87,2,16.34,0
1,3,87,3,7.55,0
1,3,87,4,6.62,0
1,3,87,5,3,0
1,3,87,6,3.94,0
1,3,87,7,10.59,0
1,3,87,8,8.53,0
1,3,87,9,2.67,0
1,3,87,10,4.01,0
1,3,87,11,1.99,0
1,3,87,12,1,0
1,3,87,13,1,0
1,3,87,14,1,0
1,3,88,1,18.27,0
1,3,88,2,23.31,0
1,3,88,3,7.65,0
1,3,88,4,8.19,0
1,3,88,5,2,0
1,3,88,6,3.54,0
1,3,88,7,6.22,0
1,3,88,8,8.95,0
1,3,88,9,1.73,0
1,3,88,10,5.14,0
1,3,88,11,1.36,0
1,3,88,12,1,0
1,3,89,1,16.29,0
1,3,89,2,19.22,0
1,3,89,3,5.95,0
1,3,89,4,4.55,0
1,3,89,5,4.76,0
1,3,89,6,6.5,0
1,3,89,7,8.22,0
1,3,89,8,5.82,0
1,3,89,9,3.29,0
1,3,89,10,2,0
1,3,89,11,2,0
1,3,89,12,1,0
1,3,89,13,0.12,0
1,3,89,14,0.88,0
1,3,90,1,11.56,0
1,3,90,2,20.32,0
1,3,90,3,8.6,0
1,3,90,4,8.06,0
1,3,90,5,2.38,0
1,3,90,6,7.89,0
1,3,90,7,1,0
1,3,90,8,6,0
1,3,90,9,5.29,0
1,3,90,10,4.09,0
1,3,90,11,4.28,1
1,3,90,12,0.18,0
1,3,90,13,0.23,0
1,3,91,1,12.37,0
1,3,91,2,18.35,0
1,3,91,3,9.33,0
1,3,91,4,6.14,0
1,3,91,5,0.47,0
1,3,91,6,1.95,0
1,3,91,7,2.77,0
1,3,91,8,8.74,0
1,3,91,9,4.93,0
1,3,91,10,2.66,0
1,3,91,11,2.71,0
1,3,91,12,0.79,0
1,3,92,1,9.66,0
1,3,92,2,10.84,0
1,3,92,3,7.66,0
1,3,92,4,8.07,0
1,3,92,5,1.15,0
1,3,92,6,3.92,0
1,3,92,7,5.06,0
1,3,92,8,3.3,0
1,3,92,9,3.72,0
1,3,92,10,3.68,0
1,3,92,11,0.3,0
1,3,92,13,0.52,0
1,3,92,14,1.49,0
1,3,93,1,6.86,0
1,3,93,2,9.15,0
1,3,93,3,10.14,0
1,3,93,4,5.02,0
1,3,93,5,3.17,0
1,3,93,6,1.17,0
1,3,93,7,3.25,0
1,3,93,8,1.04,0
1,3,93,9,5.01,0
1,3,93,10,1.6,0
1,3,93,11,2,0
1,3,93,13,1,0
1,3,93,14,2,0
1,3,94,1,6.37,0
1,3,94,2,8.07,0
1,3,94,3,11.11,0
1,3,94,4,2.8,0
1,3,94,5,1.01,0
1,3,94,6,1.13,0
1,3,94,7,2,0
1,3,94,8,0.7,0
1,3,94,9,2.09,0
1,3,94,10,2.37,0
1,3,94,11,2.53,0
1,3,94,12,0.3,0
1,3,94,13,1,0
1,3,94,14,0.84,0
1,3,95,1,1.37,0
1,3,95,2,3.33,0
1,3,95,3,6.46,0
1,3,95,4,3.84,0
1,3,95,5,0.79,0
1,3,95,6,0.93,0
1,3,95,7,1.46,0
1,3,95,9,1.86,0
1,3,95,10,0.74,0
1,3,95,11,0.5,0
1,3,95,12,0.18,0
1,3,95,13,0.46,0
1,4,78,1,120.19,0
1,4,78,2,148.73,0
1,4,78,3,152.58,0
1,4,78,4,184.63,0
1,4,78,5,125.41,0
1,4,78,6,118.01,0
1,4,78,7,72.34,0
1,4,78,8,49.62,0
1,4,78,9,27.22,0
1,4,78,10,28.15,0
1,4,78,11,16.53,0
1,4,78,12,8.55,0
1,4,78,13,8.99,0
1,4,78,14,2.27,0
1,4,79,1,119.96,0
1,4,79,2,137.33,0
1,4,79,3,134.53,0
1,4,79,4,172.01,0
1,4,79,5,119.77,0
1,4,79,6,118.18,0
1,4,79,7,78.09,0
1,4,79,8,48.14,0
1,4,79,9,29.5,0
1,4,79,10,23.22,0
1,4,79,11,18.96,0
1,4,79,12,9.26,0
1,4,79,13,5.7,0
1,4,79,14,4.79,0
1,4,80,1,116.71,0
1,4,80,2,134.78,0
1,4,80,3,121.62,0
1,4,80,4,163.36,0
1,4,80,5,129.21,0
1,4,80,6,111.42,0
1,4,80,7,91.86,0
1,4,80,8,43.47,0
1,4,80,9,32.84,0
1,4,80,10,20,0
1,4,80,11,24.4,0
1,4,80,12,9.05,0
1,4,80,13,4.23,0
1,4,80,14,6.01,0
1,4,81,1,116.63,0
1,4,81,2,106.27,0
1,4,81,3,111.34,0
1,4,81,4,144.8,0
1,4,81,5,120.59,0
1,4,81,6,101.4,0
1,4,81,7,96.57,0
1,4,81,8,51.05,0
1,4,81,9,29.24,0
1,4,81,10,15.98,0
1,4,81,11,25.7,0
1,4,81,12,10.65,0
1,4,81,13,5.36,0
1,4,81,14,7.36,0
1,4,82,1,103.91,0
1,4,82,2,74.95,0
1,4,82,3,69.71,0
1,4,82,4,78.65,0
1,4,82,5,88.26,0
1,4,82,6,59.06,0
1,4,82,7,59.58,0
1,4,82,8,37.79,0
1,4,82,9,23.21,0
1,4,82,10,14.83,0
1,4,82,11,17.25,0
1,4,82,12,8.11,0
1,4,82,13,4.53,0
1,4,82,14,6.99,0
1,4,83,1,105.08,0
1,4,83,2,57.08,0
1,4,83,3,59.81,0
1,4,83,4,36.87,0
1,4,83,5,66.72,0
1,4,83,6,40.13,0
1,4,83,7,46,0
1,4,83,8,26.92,0
1,4,83,9,23.88,0
1,4,83,10,15.1,0
1,4,83,11,12.71,0
1,4,83,12,7.26,0
1,4,83,13,3.78,0
1,4,83,14,4.31,0
1,4,84,1,111.63,0
1,4,84,2,59.13,0
1,4,84,3,53.49,0
1,4,84,4,25.77,0
1,4,84,5,63.21,0
1,4,84,6,36.17,0
1,4,84,7,38.12,0
1,4,84,8,29.66,0
1,4,84,9,22.47,0
1,4,84,10,15.89,0
1,4,84,11,11.01,0
1,4,84,12,7.31,0
1,4,84,13,3.78,0
1,4,84,14,4.01,0
1,4,85,1,98.73,0
1,4,85,2,60.77,0
1,4,85,3,50.37,0
1,4,85,4,24.18,0
1,4,85,5,55.28,0
1,4,85,6,39.84,0
1,4,85,7,24.6,0
1,4,85,8,31.78,0
1,4,85,9,19.81,0
1,4,85,10,16.65,0
1,4,85,11,7.78,0
1,4,85,12,8.21,0
1,4,85,13,2.89,0
1,4,85,14,4.22,0
1,4,86,1,53.45,0
1,4,86,2,38.79,0
1,4,86,3,30.1,0
1,4,86,4,23.87,0
1,4,86,5,29.38,0
1,4,86,6,37.71,0
1,4,86,7,19.91,0
1,4,86,8,26.45,0
1,4,86,9,20.83,0
1,4,86,10,4.45,0
1,4,86,11,7.59,0
1,4,86,12,6.14,0
1,4,86,13,1.36,0
1,4,86,14,5.73,0
1,4,87,1,19.95,0
1,4,87,2,18.63,0
1,4,87,3,13.75,0
1,4,87,4,15.67,0
1,4,87,5,19.45,0
1,4,87,6,20.5,0
1,4,87,7,17.33,0
1,4,87,8,14.76,0
1,4,87,9,13.77,0
1,4,87,10,5.14,0
1,4,87,11,5,0
1,4,87,12,2.17,1
1,4,87,13,2.83,0
1,4,87,14,2,0
1,4,88,1,17,0
1,4,88,2,21.14,0
1,4,88,3,14.3,0
1,4,88,4,24.18,0
1,4,88,5,16.01,0
1,4,88,6,25.21,0
1,4,88,7,16.42,0
1,4,88,8,15.97,0
1,4,88,9,9.36,1
1,4,88,10,9.7,0
1,4,88,11,4.01,0
1,4,88,12,3.01,0
1,4,88,13,6.01,0
1,4,88,14,0.62,1
1,4,89,1,33.65,0
1,4,89,2,48.87,0
1,4,89,3,27.15,0
1,4,89,4,24.15,0
1,4,89,5,20.34,0
1,4,89,6,39.78,0
1,4,89,7,28.92,0
1,4,89,8,24.31,0
1,4,89,9,22.9,0
1,4,89,10,14.64,0
1,4,89,11,9.61,0
1,4,89,12,5.23,0
1,4,89,13,8.47,1
1,4,89,14,4.97,0
1,4,90,1,25.54,0
1,4,90,2,26.78,0
1,4,90,3,17.36,0
1,4,90,4,17.63,0
1,4,90,5,11.4,0
1,4,90,6,25.97,0
1,4,90,7,33.12,0
1,4,90,8,20.29,0
1,4,90,9,19.93,0
1,4,90,10,8.05,0
1,4,90,11,4,0
1,4,90,12,0.18,0
1,4,90,13,4,0
1,4,90,14,4.89,1
1,4,91,1,20.22,0
1,4,91,2,21.27,0
1,4,91,3,20.9,0
1,4,91,4,15.45,0
1,4,91,5,15.63,0
1,4,91,6,24.02,0
1,4,91,7,27.29,0
1,4,91,8,13.71,0
1,4,91,9,22.85,0
1,4,91,10,12.74,0
1,4,91,11,5.43,0
1,4,91,12,4.43,0
1,4,91,13,5.21,0
1,4,91,14,2.46,1
1,4,92,1,10.94,0
1,4,92,2,24.74,0
1,4,92,3,22.47,0
1,4,92,4,12.73,0
1,4,92,5,15.98,0
1,4,92,6,16.61,0
1,4,92,7,17.64,0
1,4,92,8,16.99,0
1,4,92,9,14.68,0
1,4,92,10,10.91,0
1,4,92,11,7.12,0
1,4,92,12,7.08,0
1,4,92,13,1.32,0
1,4,92,14,3.34,0
1,4,93,1,8.33,0
1,4,93,2,21.36,0
1,4,93,3,22.03,0
1,4,93,4,16.27,0
1,4,93,5,12.93,0
1,4,93,6,13.52,0
1,4,93,7,13.2,0
1,4,93,8,11.48,0
1,4,93,9,14.04,0
1,4,93,10,7.79,0
1,4,93,11,6.13,0
1,4,93,12,7.84,0
1,4,93,13,1,0
1,4,93,14,3,0
1,4,94,1,2,0
1,4,94,2,17.68,0
1,4,94,3,14.54,0
1,4,94,4,11.86,0
1,4,94,5,5.39,0
1,4,94,6,9.13,0
1,4,94,7,10.73,0
1,4,94,8,9.02,0
1,4,94,9,6.75,0
1,4,94,10,9.85,0
1,4,94,11,4.59,0
1,4,94,12,5.86,0
1,4,94,14,0.33,0
1,4,95,2,7.9,0
1,4,95,3,14.77,0
1,4,95,4,5.02,0
1,4,95,5,2.65,0
1,4,95,6,1.91,0
1,4,95,7,2.86,0
1,4,95,8,4.64,0
1,4,95,9,0.98,0
1,4,95,10,5.23,0
1,4,95,11,3.39,0
1,4,95,12,0.6,0
1,5,78,1,41.61,0
1,5,78,2,55.11,0
1,5,78,3,54.78,0
1,5,78,4,55.22,0
1,5,78,5,67.07,0
1,5,78,6,40.68,0
1,5,78,7,29.56,0
1,5,78,8,12.13,0
1,5,78,9,13.97,0
1,5,78,10,7.09,0
1,5,78,11,15.94,0
1,5,78,12,3.02,0
1,5,78,13,1,0
1,5,79,1,43.12,0
1,5,79,2,54.54,0
1,5,79,3,52.81,0
1,5,79,4,58.73,0
1,5,79,5,63.18,0
1,5,79,6,40.8,0
1,5,79,7,35.03,0
1,5,79,8,16.43,0
1,5,79,9,11.49,0
1,5,79,10,5.86,0
1,5,79,11,13.68,0
1,5,79,12,8.89,0
1,5,79,13,0.28,0
1,5,80,1,38.03,0
1,5,80,2,39.78,0
1,5,80,3,42.96,0
1,5,80,4,48.06,0
1,5,80,5,39.57,0
1,5,80,6,36.82,0
1,5,80,7,31.39,0
1,5,80,8,17.85,0
1,5,80,9,11.12,0
1,5,80,10,6.75,0
1,5,80,11,9.09,0
1,5,80,12,8.77,0
1,5,80,13,1.5,0
1,5,80,14,0.84,0
1,5,81,1,32.41,0
1,5,81,2,34.4,0
1,5,81,3,40.51,0
1,5,81,4,49.38,0
1,5,81,5,37.31,0
1,5,81,6,45.38,0
1,5,81,7,33.05,0
1,5,81,8,23.39,0
1,5,81,9,11.24,0
1,5,81,10,6.4,0
1,5,81,11,6.03,0
1,5,81,12,10.59,0
1,5,81,13,3.02,0
1,5,81,14,0.29,0
1,5,82,1,34.49,0
1,5,82,2,26.38,0
1,5,82,3,38.08,0
1,5,82,4,43.78,0
1,5,82,5,35.73,0
1,5,82,6,43.7,0
1,5,82,7,29.15,0
1,5,82,8,19.77,0
1,5,82,9,12.98,0
1,5,82,10,8.34,0
1,5,82,11,3.67,0
1,5,82,12,10.32,0
1,5,82,13,3,0
1,5,83,1,26.36,0
1,5,83,2,21.27,0
1,5,83,3,31.5,0
1,5,83,4,30.32,0
1,5,83,5,36.23,0
1,5,83,6,39.33,0
1,5,83,7,30.83,0
1,5,83,8,19.37,0
1,5,83,9,8.93,0
1,5,83,10,12.19,0
1,5,83,11,2.58,0
1,5,83,12,11.44,0
1,5,83,13,3.11,0
1,5,83,14,2,0
1,5,84,1,19.58,0
1,5,84,2,19.24,0
1,5,84,3,22.87,0
1,5,84,4,19.93,0
1,5,84,5,24.25,0
1,5,84,6,27.96,0
1,5,84,7,25.12,0
1,5,84,8,19.74,0
1,5,84,9,8.13,0
1,5,84,10,9.62,0
1,5,84,11,2.74,0
1,5,84,12,8.34,0
1,5,84,13,5.41,0
1,5,84,14,2.11,0
1,5,85,1,20.6,0
1,5,85,2,17.29,0
1,5,85,3,21.43,0
1,5,85,4,15.2,0
1,5,85,5,23.93,0
1,5,85,6,20.18,0
1,5,85,7,25.59,0
1,5,85,8,21.94,0
1,5,85,9,12.43,0
1,5,85,10,8.38,0
1,5,85,11,5.49,0
1,5,85,12,6.57,0
1,5,85,13,5.13,0
1,5,85,14,2.34,0
1,5,86,1,43.78,0
1,5,86,2,37.2,0
1,5,86,3,29.69,0
1,5,86,4,22.6,0
1,5,86,5,34.95,0
1,5,86,6,23.8,0
1,5,86,7,30.01,0
1,5,86,8,27.79,0
1,5,86,9,17.17,0
1,5,86,10,13.61,1
