"income","education","occupation","type.of.home","ethnic.classification"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","asian"
"[10,15)","high school graduate","military","apartment","white"
"[10,15)","college graduate","professional/managerial","house","other"
"[30,40)","high school graduate","sales","house","white"
"[30,40)","high school graduate","laborer","house","white"
"[40,50)","college graduate","professional/managerial","condominium","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[25,30)","grades 9-11","homemaker","apartment","white"
"[40,50)","college (1-3 years)","homemaker","other","white"
"[40,50)","high school graduate","clerical/service","house","white"
"[0,10)","high school graduate","student","house","white"
"75+","graduate study","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","white"
"[25,30)","high school graduate","homemaker","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[50,75)","high school graduate","clerical/service","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","other"
"[0,10)","grades 9-11","student","other","asian"
"[0,10)","grades 9-11","clerical/service","house","other"
"[0,10)","high school graduate","student","apartment","hispanic"
"[40,50)","college graduate","professional/managerial","house","hispanic"
"[25,30)","college (1-3 years)","laborer","apartment","white"
"[40,50)","college graduate","clerical/service","apartment","white"
"[20,25)","high school graduate","clerical/service","apartment","white"
"75+","college (1-3 years)","professional/managerial","house","white"
"[10,15)","college graduate","sales","apartment","asian"
"[0,10)","high school graduate","clerical/service","apartment","black"
"75+","graduate study","professional/managerial","house","asian"
"[50,75)","college graduate","professional/managerial","house","white"
"[30,40)","graduate study","professional/managerial","house","white"
"[10,15)","college (1-3 years)","laborer","apartment","white"
"[20,25)","high school graduate","professional/managerial","house","white"
"[20,25)","college (1-3 years)","unemployed","house","white"
"75+","high school graduate","professional/managerial","house","white"
"[15,20)","college (1-3 years)","clerical/service","other","hispanic"
"[50,75)","college (1-3 years)","laborer","house","white"
"[50,75)","college (1-3 years)","professional/managerial","other","asian"
"[0,10)","college (1-3 years)","clerical/service","other","white"
"[40,50)","college (1-3 years)","professional/managerial","condominium","white"
"[50,75)","college (1-3 years)","clerical/service","house","white"
"[0,10)","grades 9-11","student","house","hispanic"
"[50,75)","college graduate","professional/managerial","house","white"
"[40,50)","grades 9-11","clerical/service","house","asian"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","asian"
"[50,75)","grades 9-11","clerical/service","house","asian"
"[40,50)","grades 9-11","clerical/service","house","asian"
"[40,50)","graduate study","professional/managerial","apartment","white"
"[10,15)","high school graduate","clerical/service","apartment","white"
"[0,10)","grades 9-11","clerical/service","apartment","asian"
"[15,20)","college graduate","professional/managerial","apartment","white"
"[25,30)","high school graduate","student","house","asian"
"[50,75)","college (1-3 years)","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","asian"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","college (1-3 years)","professional/managerial","apartment","white"
"[40,50)","college (1-3 years)","professional/managerial","other","asian"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","grades 9-11","student","house","asian"
"75+","graduate study","retired","house","american indian"
"[10,15)","high school graduate","homemaker","house","white"
"[40,50)","graduate study","homemaker","house","white"
"[0,10)","grades 9-11","student","house","white"
"75+","college (1-3 years)","student","house","white"
"[40,50)","grades 9-11","clerical/service","house","asian"
"[40,50)","college (1-3 years)","student","house","black"
"[50,75)","college graduate","professional/managerial","house","hispanic"
"[20,25)","college graduate","unemployed","house","white"
"[40,50)","college graduate","professional/managerial","apartment","white"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","high school graduate","unemployed","apartment","black"
"[0,10)","high school graduate","student","house","hispanic"
"75+","college (1-3 years)","student","house","white"
"[0,10)","grades 9-11","student","other","white"
"[0,10)","grades 9-11","clerical/service","house","white"
"[10,15)","college (1-3 years)","student","house","american indian"
"[15,20)","college (1-3 years)","professional/managerial","other","white"
"[50,75)","college graduate","professional/managerial","apartment","white"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","college graduate","clerical/service","apartment","white"
"[50,75)","college (1-3 years)","laborer","house","black"
"[40,50)","college (1-3 years)","homemaker","house","hispanic"
"[0,10)","grades 9-11","homemaker","apartment","black"
"[0,10)","high school graduate","laborer","house","black"
"[40,50)","grades 9-11","unemployed","house","black"
"[20,25)","college (1-3 years)","professional/managerial","house","black"
"[0,10)","high school graduate","homemaker","apartment","white"
"[0,10)","grades 9-11","student","apartment","white"
"[20,25)","high school graduate","sales","house","hispanic"
"[25,30)","high school graduate","military","house","hispanic"
"[10,15)","high school graduate","clerical/service","apartment","black"
"[0,10)","grades 9-11","student","house","black"
"[0,10)","grades 9-11","student","house","black"
"[40,50)","grades 9-11","unemployed","house","black"
"[0,10)","grades 9-11","student","apartment","black"
"[0,10)","grades 9-11","student","apartment","black"
"[0,10)","grade <9","student","apartment","black"
"[0,10)","grades 9-11","student","apartment","black"
"[0,10)","grades 9-11","unemployed","house","black"
"[0,10)","grade <9","student","house","black"
"[0,10)","grades 9-11","student","apartment","black"
"[10,15)","college (1-3 years)","clerical/service","apartment","black"
"[40,50)","college (1-3 years)","laborer","house","black"
"[15,20)","college (1-3 years)","laborer","apartment","black"
"[30,40)","college (1-3 years)","laborer","house","black"
"[0,10)","grades 9-11","sales","house","black"
"[15,20)","college (1-3 years)","laborer","apartment","black"
"[10,15)","grades 9-11","student","apartment","black"
"[20,25)","college (1-3 years)","sales","condominium","black"
"[0,10)","college graduate","military","condominium","black"
"[50,75)","grades 9-11","clerical/service","apartment","black"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[10,15)","high school graduate","laborer","house","black"
"[0,10)","high school graduate","retired","house","black"
"[10,15)","high school graduate","clerical/service","house","black"
"[40,50)","college (1-3 years)","professional/managerial","house","black"
"[50,75)","college graduate","professional/managerial","house","black"
"[50,75)","college graduate","military","condominium","black"
"[40,50)","high school graduate","professional/managerial","apartment","black"
"[50,75)","high school graduate","military","house","black"
"[50,75)","college (1-3 years)","clerical/service","house","black"
"[30,40)","high school graduate","homemaker","house","black"
"[15,20)","high school graduate","sales","apartment","black"
"[20,25)","high school graduate","laborer","house","black"
"[15,20)","college (1-3 years)","student","house","black"
"[0,10)","grades 9-11","unemployed","house","black"
"[10,15)","high school graduate","clerical/service","house","black"
"[0,10)","grade <9","student","apartment","black"
"[40,50)","high school graduate","clerical/service","house","black"
"[40,50)","college (1-3 years)","professional/managerial","condominium","black"
"[0,10)","high school graduate","sales","apartment","black"
"[15,20)","high school graduate","laborer","apartment","black"
"[0,10)","grades 9-11","unemployed","apartment","black"
"[0,10)","grades 9-11","student","house","other"
"[50,75)","college (1-3 years)","clerical/service","house","black"
"[50,75)","college graduate","military","condominium","black"
"[0,10)","grades 9-11","student","house","black"
"[50,75)","college graduate","clerical/service","house","black"
"[0,10)","high school graduate","unemployed","house","black"
"[10,15)","high school graduate","sales","house","white"
"[0,10)","grades 9-11","student","house","black"
"[10,15)","college graduate","professional/managerial","house","black"
"[30,40)","high school graduate","clerical/service","apartment","black"
"[25,30)","college graduate","sales","apartment","black"
"[40,50)","high school graduate","clerical/service","house","black"
"[10,15)","high school graduate","sales","apartment","black"
"[0,10)","grade <9","student","house","hispanic"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[10,15)","college (1-3 years)","laborer","apartment","hispanic"
"[50,75)","high school graduate","professional/managerial","house","white"
"[50,75)","college (1-3 years)","professional/managerial","other","white"
"[50,75)","grade <9","unemployed","other","hispanic"
"[25,30)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","graduate study","sales","house","white"
"[40,50)","college (1-3 years)","clerical/service","house","white"
"[0,10)","grades 9-11","student","house","white"
"[15,20)","high school graduate","clerical/service","apartment","black"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","college (1-3 years)","clerical/service","mobile Home","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[20,25)","college graduate","professional/managerial","house","white"
"[0,10)","college (1-3 years)","unemployed","house","white"
"[15,20)","college (1-3 years)","laborer","house","black"
"[50,75)","high school graduate","clerical/service","house","white"
"[30,40)","college graduate","professional/managerial","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[20,25)","grades 9-11","unemployed","house","white"
"[50,75)","college graduate","professional/managerial","house","black"
"[20,25)","high school graduate","student","house","white"
"[15,20)","high school graduate","military","apartment","white"
"[50,75)","college (1-3 years)","clerical/service","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[20,25)","college graduate","clerical/service","house","asian"
"[15,20)","high school graduate","laborer","house","pacific islander"
"75+","college graduate","professional/managerial","house","white"
"[0,10)","college (1-3 years)","professional/managerial","house","asian"
"[0,10)","college (1-3 years)","professional/managerial","house","hispanic"
"[0,10)","high school graduate","clerical/service","house","pacific islander"
"[0,10)","college (1-3 years)","student","house","other"
"[30,40)","college (1-3 years)","student","house","other"
"[25,30)","college (1-3 years)","student","house","white"
"[25,30)","college (1-3 years)","sales","house","hispanic"
"[0,10)","college (1-3 years)","homemaker","apartment","white"
"[15,20)","college (1-3 years)","professional/managerial","house","asian"
"[0,10)","grades 9-11","unemployed","house","hispanic"
"[0,10)","college (1-3 years)","professional/managerial","house","hispanic"
"[0,10)","graduate study","student","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","high school graduate","student","apartment","white"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grade <9","student","house","black"
"[0,10)","grade <9","student","house","white"
"[0,10)","grades 9-11","unemployed","house","white"
"[20,25)","college (1-3 years)","professional/managerial","house","white"
"[15,20)","high school graduate","clerical/service","house","white"
"[50,75)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","unemployed","apartment","american indian"
"[0,10)","grades 9-11","student","house","black"
"[30,40)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grade <9","student","condominium","black"
"[30,40)","high school graduate","clerical/service","house","black"
"[0,10)","grades 9-11","professional/managerial","house","white"
"[0,10)","grade <9","student","house","hispanic"
"[30,40)","college (1-3 years)","sales","house","hispanic"
"[40,50)","college (1-3 years)","sales","house","white"
"[40,50)","college (1-3 years)","professional/managerial","other","white"
"[40,50)","college (1-3 years)","clerical/service","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","college (1-3 years)","clerical/service","apartment","black"
"[30,40)","high school graduate","professional/managerial","house","white"
"[50,75)","high school graduate","clerical/service","house","white"
"[50,75)","college (1-3 years)","student","house","white"
"[0,10)","grades 9-11","student","house","black"
"[30,40)","high school graduate","professional/managerial","apartment","white"
"[30,40)","college (1-3 years)","clerical/service","apartment","black"
"75+","graduate study","professional/managerial","house","black"
"[50,75)","grades 9-11","professional/managerial","house","black"
"[20,25)","high school graduate","homemaker","apartment","white"
"[40,50)","college (1-3 years)","sales","apartment","black"
"[0,10)","grade <9","student","house","white"
"[30,40)","high school graduate","professional/managerial","house","white"
"[0,10)","grades 9-11","sales","house","white"
"[0,10)","grades 9-11","student","apartment","white"
"[0,10)","college (1-3 years)","student","house","white"
"[0,10)","high school graduate","clerical/service","apartment","white"
"[50,75)","high school graduate","sales","apartment","white"
"[50,75)","college (1-3 years)","sales","house","white"
"[0,10)","high school graduate","sales","house","asian"
"75+","graduate study","professional/managerial","house","white"
"[30,40)","college (1-3 years)","professional/managerial","house","hispanic"
"[10,15)","college (1-3 years)","student","condominium","black"
"[40,50)","graduate study","professional/managerial","house","white"
"[50,75)","college graduate","professional/managerial","house","white"
"[25,30)","college (1-3 years)","clerical/service","other","white"
"[30,40)","college (1-3 years)","homemaker","house","black"
"[30,40)","college (1-3 years)","clerical/service","house","white"
"[20,25)","college (1-3 years)","clerical/service","house","white"
"[0,10)","grades 9-11","laborer","condominium","white"
"[30,40)","college (1-3 years)","laborer","condominium","black"
"[25,30)","college (1-3 years)","sales","condominium","white"
"[10,15)","high school graduate","sales","apartment","american indian"
"[20,25)","high school graduate","laborer","house","white"
"[15,20)","high school graduate","sales","condominium","white"
"[50,75)","college (1-3 years)","professional/managerial","house","black"
"[10,15)","college (1-3 years)","student","house","white"
"75+","high school graduate","professional/managerial","house","black"
"[30,40)","college (1-3 years)","clerical/service","condominium","other"
"[0,10)","grades 9-11","student","house","black"
"[50,75)","college (1-3 years)","homemaker","house","white"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[40,50)","college (1-3 years)","laborer","house","white"
"[0,10)","high school graduate","sales","house","hispanic"
"[30,40)","high school graduate","unemployed","house","white"
"[0,10)","high school graduate","clerical/service","house","white"
"[0,10)","grade <9","student","house","white"
"[40,50)","college (1-3 years)","homemaker","house","hispanic"
"[10,15)","college (1-3 years)","student","house","asian"
"[10,15)","high school graduate","clerical/service","house","black"
"[30,40)","college (1-3 years)","clerical/service","house","white"
"[10,15)","college (1-3 years)","sales","house","white"
"[50,75)","college (1-3 years)","clerical/service","house","hispanic"
"[0,10)","grades 9-11","student","house","american indian"
"[0,10)","grades 9-11","student","house","white"
"[25,30)","high school graduate","homemaker","house","white"
"[0,10)","high school graduate","student","house","hispanic"
"[10,15)","college (1-3 years)","laborer","apartment","black"
"[10,15)","high school graduate","homemaker","apartment","black"
"[0,10)","grades 9-11","student","house","black"
"[15,20)","grades 9-11","student","apartment","black"
"[15,20)","graduate study","clerical/service","house","black"
"[30,40)","grades 9-11","homemaker","house","black"
"[0,10)","high school graduate","sales","apartment","black"
"[0,10)","grades 9-11","student","apartment","black"
"[10,15)","high school graduate","student","house","black"
"[20,25)","high school graduate","unemployed","house","black"
"[0,10)","grades 9-11","student","house","black"
"[10,15)","high school graduate","homemaker","apartment","white"
"[0,10)","grade <9","student","apartment","hispanic"
"[15,20)","high school graduate","clerical/service","condominium","hispanic"
"[0,10)","grade <9","student","house","black"
"[0,10)","grades 9-11","unemployed","house","black"
"[0,10)","grades 9-11","student","apartment","black"
"[40,50)","college graduate","laborer","house","black"
"[0,10)","grades 9-11","laborer","apartment","black"
"[10,15)","grades 9-11","retired","house","black"
"[10,15)","grades 9-11","student","apartment","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[40,50)","college (1-3 years)","sales","house","other"
"[50,75)","college (1-3 years)","professional/managerial","house","black"
"[30,40)","college graduate","professional/managerial","house","black"
"[40,50)","college (1-3 years)","professional/managerial","house","white"
"[0,10)","grades 9-11","student","house","black"
"[0,10)","high school graduate","unemployed","apartment","black"
"[20,25)","high school graduate","laborer","house","black"
"[50,75)","high school graduate","student","house","black"
"[15,20)","college (1-3 years)","clerical/service","house","black"
"[20,25)","college (1-3 years)","clerical/service","house","black"
"[15,20)","high school graduate","military","apartment","black"
"[40,50)","high school graduate","laborer","house","other"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","grades 9-11","student","house","american indian"
"[0,10)","grades 9-11","student","house","black"
"[30,40)","grades 9-11","unemployed","house","black"
"[40,50)","college graduate","professional/managerial","condominium","black"
"[0,10)","college (1-3 years)","student","apartment","black"
"[30,40)","high school graduate","laborer","house","black"
"[20,25)","college (1-3 years)","laborer","house","black"
"[25,30)","high school graduate","clerical/service","house","black"
"[10,15)","high school graduate","laborer","house","black"
"[20,25)","high school graduate","laborer","apartment","black"
"[0,10)","grade <9","student","house","black"
"[0,10)","grades 9-11","student","apartment","black"
"[0,10)","grades 9-11","student","house","black"
"[0,10)","college (1-3 years)","student","house","black"
"[0,10)","grades 9-11","student","house","black"
"[20,25)","high school graduate","laborer","apartment","american indian"
"[10,15)","college (1-3 years)","student","house","black"
"[0,10)","grade <9","student","house","black"
"[0,10)","grade <9","student","house","black"
"[0,10)","grades 9-11","student","condominium","hispanic"
"[0,10)","grade <9","student","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","white"
"[40,50)","college (1-3 years)","sales","house","other"
"[0,10)","grades 9-11","student","house","white"
"[0,10)","college (1-3 years)","sales","house","white"
"[0,10)","grades 9-11","student","house","white"
"[20,25)","graduate study","clerical/service","house","white"
"[30,40)","grades 9-11","retired","house","black"
"[0,10)","grades 9-11","student","apartment","black"
"[15,20)","grades 9-11","military","house","black"
"[10,15)","grades 9-11","unemployed","apartment","black"
"[25,30)","grades 9-11","student","house","black"
"[0,10)","grades 9-11","student","house","black"
"[25,30)","college (1-3 years)","clerical/service","house","black"
"[10,15)","college (1-3 years)","clerical/service","apartment","black"
"[40,50)","college (1-3 years)","professional/managerial","house","black"
"[40,50)","high school graduate","laborer","house","pacific islander"
"[10,15)","high school graduate","homemaker","apartment","black"
"[0,10)","grades 9-11","student","apartment","black"
"[50,75)","high school graduate","sales","house","hispanic"
"[0,10)","grades 9-11","student","apartment","hispanic"
"[50,75)","college (1-3 years)","sales","house","white"
"75+","high school graduate","retired","house","other"
"[20,25)","college (1-3 years)","student","house","white"
"[10,15)","high school graduate","student","house","white"
"[30,40)","grades 9-11","unemployed","house","white"
"[0,10)","grade <9","student","house","white"
"[15,20)","college (1-3 years)","student","other","white"
"[25,30)","college (1-3 years)","sales","house","asian"
"[0,10)","grades 9-11","student","house","hispanic"
"[0,10)","grades 9-11","student","house","hispanic"
"[50,75)","high school graduate","sales","house","hispanic"
