"income","sex","marital status","age","education","occupation","years in bay area","dual incomes","number in household","number of children","householder status","type of home","ethnic classification","language in home"
"[0,10)","female","single","14-17","grades 9-11","student",">10","not married","4","1","live with parents/family","house","white","english"
"75+","male","married","25-34","college graduate","professional/managerial",">10","yes","3","1","rent","apartment","white","english"
"[40,50)","male","married","35-44","college (1-3 years)","professional/managerial",">10","yes","3","0","own","house","white","english"
"75+","male","married","35-44","college (1-3 years)","professional/managerial",">10","yes","3","1","own","house","white","english"
"[30,40)","male","married","35-44","graduate study","professional/managerial",NA,"yes","3","1","own","house","white","english"
"[20,25)","female","divorced","65+","high school graduate","retired",">10","not married","1","0","own","other","white","english"
"[30,40)","female","divorced","35-44","college graduate","professional/managerial","7-10","not married","5","3","own","house","white","english"
"[50,75)","female","married","35-44","college (1-3 years)","professional/managerial","7-10","yes","4","2","rent","house","white","english"
"[0,10)","female","single","14-17","grades 9-11","student",">10","not married","4","2","live with parents/family","house","white","english"
"[0,10)","female","single","14-17","grades 9-11","student",">10","not married","3","1","live with parents/family","house","white","english"
"[0,10)","male","single","14-17","grades 9-11","student",">10","not married","6","4","live with parents/family","house","white","english"
"[50,75)","female","married","35-44","college (1-3 years)","homemaker",NA,"no","6","4","own","house","white","english"
"[10,15)","female","married","65+","high school graduate","homemaker",">10","no","2","0","own","house","white","english"
"[50,75)","female","married","35-44","high school graduate","homemaker","<1","no","3","1","own","house","white","english"
"75+","male","married","45-54","graduate study","professional/managerial",">10","yes","4","0","own","house","white","english"
"[25,30)","female","divorced","35-44","college graduate","professional/managerial","4-6","not married","2","1","rent","apartment","asian","other"
"[10,15)","female","widowed","55-64","graduate study","professional/managerial","<1","not married","1","0","rent","apartment","white","english"
"[0,10)","male","single","14-17","grades 9-11","student",">10","not married","5","2","live with parents/family","house","white","english"
"[50,75)","female","married","35-44","college (1-3 years)","professional/managerial",">10","yes","5","3","own","house","white","english"
"[50,75)","female","married","45-54","college (1-3 years)","homemaker",">10","no","3","0","own","house","white","english"
"[10,15)","female","single","18-24","grades 9-11","student","1-3","not married","3","0","live with parents/family","house","black","english"
"[30,40)","female","married","55-64","college (1-3 years)","sales",">10","yes","4","2","rent","house","white","english"
"[50,75)","female","married","45-54","college (1-3 years)","homemaker",">10","no","3","0","own","house","white","english"
"[30,40)","female","married","55-64","high school graduate","homemaker",NA,"no","2","0","own","house","white","english"
"[50,75)","female","married","35-44","high school graduate","homemaker","4-6","no","6","4","own","house","white",NA
"[30,40)","female","married","25-34","high school graduate","homemaker",">10","no","5","3","own","house","hispanic","english"
"[20,25)","female","single","14-17","grades 9-11","sales",">10","not married","3","1","live with parents/family","condominium","white","english"
"[40,50)","male","divorced","45-54","college (1-3 years)","professional/managerial",">10","not married","1","0","rent","condominium","white","english"
"[0,10)","male","single","14-17","grades 9-11","student",NA,"not married","5","3","live with parents/family","house","white","english"
"75+","female","married","45-54","graduate study","homemaker",">10","no","2","0","own","house","white",NA
"[15,20)","male","married","14-17","college graduate","retired",">10","yes","3","0","rent","house","black","spanish"
"[0,10)","male","single","14-17","grade <9","laborer",">10","not married",NA,"0","live with parents/family","house","white","english"
"[0,10)","male","single","14-17","grade <9","student",">10","not married","4","2","live with parents/family","house","white","english"
"75+","female","married","35-44","college (1-3 years)","professional/managerial",">10","yes","2","0","own","house","white","english"
"[50,75)","female","married","55-64","graduate study","homemaker",">10","no","2","0","own","house","white","english"
"[0,10)","female","divorced","45-54","college (1-3 years)","professional/managerial","1-3","not married","1","0","own","house","white","english"
"[50,75)","male","married","25-34","college (1-3 years)","laborer",">10","yes","3","1","own","house","white","english"
"[20,25)","male","divorced","35-44","high school graduate","laborer",">10","not married","1","0","own","house","other","english"
"[50,75)","female","married","25-34","college graduate","professional/managerial","7-10","yes","3","1","own","condominium","white","english"
"[40,50)","male","married","65+","college (1-3 years)","retired",">10","yes","4","2","own","house","white","english"
"[15,20)","female","married","45-54","college (1-3 years)","homemaker",NA,"not married","4","1","rent","apartment","asian",NA
"[0,10)","male","single","14-17","grades 9-11","student",">10","not married","5","3","live with parents/family","house","hispanic","english"
"[0,10)","male","single","14-17","grades 9-11","student",">10","not married","5","3","live with parents/family","house","white","english"
"[40,50)","female","married","35-44","college (1-3 years)","homemaker","7-10","no","4","2","own","house","asian","other"
"[0,10)","male","single","14-17","grade <9","student",">10","not married","3","0","live with parents/family","house","white","english"
"75+","female","married","55-64","college graduate","professional/managerial",NA,"yes","2","0","own","house","white","english"
"[15,20)","female","divorced","35-44","grades 9-11","professional/managerial",">10","not married","2","0","live with parents/family","house","white","english"
"75+","female","married","35-44","college (1-3 years)","homemaker",">10","no","4","2","own","house","white","english"
"[50,75)","female","married","25-34","college (1-3 years)","homemaker","1-3","no","4","2","own","condominium","white","english"
"[0,10)","male","single","14-17","grades 9-11","clerical/service",">10","not married","5","3","live with parents/family","house","white","english"
"[30,40)","female","married","45-54","high school graduate","homemaker",NA,"no","3","1","own","house","white","english"
"[10,15)","female","married","55-64","high school graduate","retired",NA,"no",NA,"0","rent","apartment","white","other"
"[20,25)","female","single","25-34","college graduate","professional/managerial",">10","not married","4","0","rent","house","black","other"
"[15,20)","female","married","65+","high school graduate","homemaker",NA,"no","2","2","own","house","white","english"
"[50,75)","female","cohabitation","18-24","college graduate","professional/managerial","7-10","not married","2","0","rent","apartment","white","english"
"[25,30)","male","married","25-34","college graduate","student","1-3","no","3","0","rent","house","white","english"
"[30,40)","female",NA,"35-44","college graduate","homemaker",NA,"no","5","3","own","house","white","english"
"75+","male","married","55-64","college graduate","professional/managerial",">10","yes","2","0","own","house","white","english"
"[10,15)","female","married","18-24","grades 9-11","homemaker","4-6","no","4","2","rent","apartment","white","english"
"[10,15)","female","cohabitation","35-44","college (1-3 years)","laborer",NA,"not married","2","0","rent","house","white","english"
"75+","female","married","35-44","graduate study","homemaker","1-3","no","4","1","own","house","white","english"
"[20,25)","male","married","25-34","college (1-3 years)","professional/managerial","4-6","yes","2","0","rent","apartment","asian","english"
"[15,20)","male","single","18-24","college (1-3 years)","student","7-10","not married","2","0","rent","apartment","white","english"
"[25,30)","female","married","18-24","college (1-3 years)","sales",">10","yes","2","0","rent","apartment","white","english"
"[25,30)","male","divorced","55-64","high school graduate","retired",NA,"not married","1","0","own","condominium","white","english"
"75+","female","single","18-24","college (1-3 years)","student","4-6","not married","4","0","live with parents/family","house","white","english"
"[50,75)","female","married","55-64","college (1-3 years)","clerical/service",">10","yes","2","0","own","house","white","english"
"75+","male","single","18-24","college (1-3 years)","student",">10","not married","3","0","live with parents/family","house","white","english"
"75+","male","single","18-24","college (1-3 years)","student",">10","not married","4","0","own","house","hispanic","english"
"[40,50)","female","married","55-64","college (1-3 years)","homemaker","1-3","not married","2","0","own","other","white","other"
"[50,75)","female","married","55-64","high school graduate","sales",">10","yes","2","0","own","house","white","english"
"[15,20)","male","married","65+","high school graduate","retired",">10","no","2","0","own","mobile Home","white","english"
"[40,50)","female","married","55-64","college (1-3 years)","retired",">10","no","2","0","own","condominium","white","english"
"[25,30)","female","married","65+","college (1-3 years)","retired",NA,"no","2","0","own","house","white","english"
"[0,10)","female","divorced","65+","high school graduate","retired",">10","not married","2","0","own","house","white","english"
"75+","female","married","45-54","graduate study","professional/managerial",">10","yes","4","2","own","house","white","english"
"[20,25)","female",NA,"35-44","college (1-3 years)","professional/managerial",">10","not married",NA,"0","rent",NA,"white",NA
"[50,75)","female","married","45-54","graduate study","professional/managerial","1-3","yes","3","0","own","house","east indian","other"
"[40,50)","female","married","35-44","high school graduate","homemaker",">10","no","2","0","own","house","other","spanish"
"[25,30)","female","single","14-17","high school graduate","unemployed","7-10","not married","3","1","live with parents/family","house","white","english"
"[30,40)","male","single","18-24","high school graduate","student",">10","not married","2","0","live with parents/family","house","white","english"
"[50,75)","male","single","14-17","grades 9-11","sales",">10","not married","3","1","live with parents/family","house","white","english"
"[0,10)","male","single","14-17","grades 9-11","student",">10","not married","5","3","live with parents/family","house","white","english"
"[40,50)","female","single","14-17","grade <9","professional/managerial","1-3","not married","7","5","rent","condominium","other",NA
"[0,10)","female","single","18-24","high school graduate","professional/managerial",">10","not married","2","0","live with parents/family","apartment","white","english"
"[40,50)","female","married","55-64","college (1-3 years)","professional/managerial",">10","yes","6","0","own","house","american indian","english"
"[30,40)","female","married","45-54","college (1-3 years)","homemaker",">10","no","4","0","own","house","white","english"
"[50,75)","male","married","25-34","graduate study","sales","1-3","yes","2","0","rent","apartment",NA,"english"
"75+","male","single","18-24","grades 9-11","student",">10","not married","5","1","live with parents/family","house","white","english"
"[20,25)","female","cohabitation","25-34","high school graduate","clerical/service","1-3","not married","3","1","rent","apartment","american indian","english"
"[25,30)","female",NA,"65+","high school graduate","retired",">10","not married","1","0","rent","apartment","white","english"
"[25,30)","female","married","65+","college (1-3 years)","retired",">10","no","2","0","own","house","white","english"
"[10,15)","female","divorced","25-34","college (1-3 years)","clerical/service",NA,"not married","3","1","rent","condominium","white","english"
"[15,20)","female","married","18-24","college graduate","sales","1-3","yes","2","0","rent","house","white","english"
"[30,40)","male","single","45-54","graduate study","professional/managerial","<1","not married","1","0","rent","condominium","white","english"
"[40,50)","female","widowed","65+","high school graduate","retired","1-3","not married","2","0",NA,"condominium","white","english"
"[40,50)","female","divorced","65+","college graduate","retired",NA,"not married",NA,"0","rent","condominium","white",NA
"[40,50)","female","divorced","35-44","college (1-3 years)","clerical/service",">10","not married",NA,"0","own","house","white","english"
"[0,10)","female","single","14-17","grade <9","student",">10","not married",NA,"0","live with parents/family","house","white",NA
"75+","female","married","25-34","college graduate","homemaker","4-6","no","3","1","own","house","white","english"
"[50,75)","female","cohabitation","45-54","college (1-3 years)","professional/managerial",">10","not married","2","0","own","house","white",NA
"[50,75)","female","cohabitation","45-54","college (1-3 years)","professional/managerial",">10","not married","2","0","own","house","white","english"
"[0,10)","female","single","14-17","grades 9-11","student",NA,"not married","5","1","live with parents/family","house","white","english"
"[50,75)","female","married","35-44","college graduate","clerical/service","4-6","yes","4","2","own","house","white","english"
"[40,50)","female",NA,"35-44","high school graduate",NA,NA,"no","4","2","own","house","white",NA
"[30,40)","female","divorced","25-34","college (1-3 years)","homemaker",">10","not married","4","3","rent","condominium","white","english"
"[50,75)","male","married","55-64","college (1-3 years)","retired",">10","no",NA,"0",NA,NA,NA,NA
"[20,25)","female","married","45-54","graduate study","clerical/service",">10","no","3","0","own","house","white","english"
"75+","female","married","45-54","college graduate","professional/managerial",">10","yes","2","0","own","house","white","english"
"[0,10)","male","single","14-17","grade <9","unemployed",">10","not married","5","3","live with parents/family","house","hispanic","english"
"[50,75)","female","married","45-54","college (1-3 years)","professional/managerial","7-10","yes","5","1","own","house","white","english"
"[50,75)","female","married","55-64","college (1-3 years)","professional/managerial",">10","no","2","0","own","house","white","english"
"[0,10)","female","single","14-17","grades 9-11","student",NA,"not married","8","6","live with parents/family",NA,"white","english"
"75+","female","married","45-54","graduate study","homemaker","1-3","no","3","0","own","house","white","english"
"[0,10)","female","single","14-17","grades 9-11","student","4-6","not married","5","3","live with parents/family","apartment","asian","other"
"[40,50)","male","married","35-44","college (1-3 years)","professional/managerial","7-10","yes","6","2","rent","house","white","english"
"75+","male","married","35-44","graduate study","professional/managerial","4-6","yes","5","3","own","house","white","english"
"[40,50)","male","married","65+","high school graduate","professional/managerial",">10","no","2","0","own","house","white","english"
"[40,50)","male","married","65+","graduate study","professional/managerial",">10","no","3","0","own","house","white","english"
"[20,25)","male","single","18-24","college (1-3 years)","professional/managerial",NA,"not married","7","0","rent","condominium","white","english"
"[40,50)","female","divorced","45-54","college (1-3 years)","professional/managerial","7-10","not married","2","0","own","house","white","english"
"[0,10)","female","single","25-34","graduate study","student",">10","not married","7","1","live with parents/family","house","white","english"
"[40,50)","male","married","65+","high school graduate","retired",">10","no","3","0","own","house","white","english"
"[0,10)","male","single","18-24","college (1-3 years)","unemployed","1-3","not married",NA,"0","rent","apartment","black","english"
"[25,30)","male","married","65+","high school graduate","retired",">10","no","2","0","own","house","white","english"
"75+","female","married","35-44","graduate study","professional/managerial","4-6","yes","4","2","own","house","white","english"
"[10,15)","female","single","14-17","grades 9-11","clerical/service","4-6","not married","2","1","live with parents/family",NA,"white","english"
"[10,15)","female","single","14-17","grades 9-11","clerical/service",">10","not married","3","2","live with parents/family","apartment","hispanic","english"
"[50,75)","male","married","55-64","college (1-3 years)","retired",">10","no","2","0","own","house","white","english"
"[50,75)","female","married","35-44","college (1-3 years)","homemaker",">10","no","4","0","own","house","white","english"
"75+","female","married","35-44","college graduate","professional/managerial",">10","yes","2","0","own","house","white","english"
"75+","female","married","25-34","college graduate","professional/managerial","4-6","yes","2","0","own","other","white","english"
"75+","female","married","35-44","graduate study","professional/managerial",">10","yes","3","1","own","house","white","english"
"75+","male","married","35-44","graduate study","professional/managerial",">10","yes","2","0","own","house","hispanic","english"
"[0,10)","male","single","14-17","grades 9-11","student","4-6","not married","6","3","live with parents/family","other","white","english"
"[10,15)","female","married","18-24","high school graduate","professional/managerial",">10","yes","2","0","rent","apartment","white","english"
"75+","male","married","65+","graduate study","professional/managerial",">10","no","3","3","own","house","white","english"
"[30,40)","female","married","35-44","high school graduate","professional/managerial",">10","no","4","2","own","house","white","english"
"[15,20)","female","married","65+","college (1-3 years)","retired",NA,"no","2","0",NA,"other","white","english"
"[20,25)","female","divorced","65+","high school graduate","retired",NA,"not married","1","0",NA,"apartment","asian","english"
"[15,20)","female","divorced","55-64","college graduate","professional/managerial",">10","not married","2","0","own","house","white","english"
"[0,10)","female","widowed","65+","college (1-3 years)","clerical/service",">10","not married","1","0","own","house","white","english"
"[0,10)","male","single","14-17","grades 9-11","student","7-10","not married","3","0","live with parents/family","condominium","hispanic","english"
"[30,40)","female","married","25-34","high school graduate","homemaker",">10","no","4","2","own","house","white","english"
"[25,30)","male","single","35-44","college (1-3 years)","sales",">10","not married","1","0","rent","apartment","white","english"
"[40,50)","female","widowed","45-54","college (1-3 years)","retired","1-3","not married","2","0","rent","apartment","white","english"
"[40,50)","male","single","25-34","college (1-3 years)","professional/managerial","1-3","not married","2","0","own","house","white","english"
"[40,50)","male","married","65+","graduate study",NA,">10","no","2","0","own","house","white","english"
"[25,30)","female","married","65+","college (1-3 years)","retired",">10","no","2","0","own",NA,"white","english"
"[0,10)","female","single","18-24","college (1-3 years)","student","7-10","not married",NA,"0","rent","condominium","white","english"
"[25,30)","male","married","65+","college (1-3 years)","retired",">10","no","2","0","own","house","white","english"
"[10,15)","female","single","25-34","college (1-3 years)","laborer",">10","not married","1","0","rent","apartment","white","english"
"[10,15)","female","single","25-34","high school graduate","laborer","7-10","not married","3","1","rent","apartment","white","english"
"[20,25)","female","widowed","65+","college graduate","retired",">10","not married","1","1","rent","apartment","white","english"
"[50,75)","female","married","55-64","college graduate","sales",">10","yes","2","0","own","house","white","english"
"[50,75)","female","married","35-44","graduate study","homemaker","7-10","no","5","3","own","house","white","other"
"[20,25)","male","married","65+","college graduate","retired",">10","no","2","0","own","house","white","english"
"[25,30)","female","single","25-34","college (1-3 years)","clerical/service",">10","not married","1","0","rent","apartment","white","english"
"[20,25)","female","single","18-24","college (1-3 years)","student",">10","not married","4","0","live with parents/family","house","white","english"
"75+","female","single","18-24","high school graduate","sales","4-6","not married","3","1","live with parents/family","house","white","english"
"[15,20)","female","divorced","65+","graduate study","professional/managerial",">10","not married","1","0","rent","house","white","english"
"[50,75)","male","single","25-34","college (1-3 years)","professional/managerial",">10","not married","2","0","own","house","pacific islander","english"
"[40,50)","male","single","25-34","college graduate","professional/managerial","4-6","not married","2","0","rent","condominium","white","english"
"[40,50)","male","married","25-34","college graduate","professional/managerial","7-10","yes","3","1","rent","apartment","white","other"
"[40,50)","male","single","25-34","college (1-3 years)","professional/managerial",">10","not married","1","0","rent","condominium","white","english"
"[50,75)","female","married","25-34","college graduate","professional/managerial",">10","yes","2","0","own","house","white","english"
"[0,10)","female","single","14-17","grades 9-11","student","7-10","not married","3","1","live with parents/family","house","asian","english"
"[50,75)","female","married","45-54","college (1-3 years)","professional/managerial",">10","yes","2","0","own","house","white","english"
"[30,40)","female","single","25-34","college graduate","professional/managerial",">10","not married","2","0","own","house","hispanic","english"
"[50,75)","male","married","55-64","graduate study","professional/managerial",">10","yes","2","0","own","house","white","english"
"[15,20)","male","married","65+","high school graduate","retired",NA,"no",NA,"0","own","house","white","english"
"[20,25)","male","cohabitation","25-34","college (1-3 years)","professional/managerial",">10","yes","4","0","rent","house","white","english"
"75+","female","married","35-44","college (1-3 years)","homemaker",">10","no","5","3","own","house","white","english"
"[30,40)","female","married","45-54","high school graduate","clerical/service",">10","yes","3","0","own","house","white","english"
"75+","female","married","55-64","college graduate","homemaker",">10","no","2","0","own",NA,"white","english"
"[0,10)","female","married","45-54","high school graduate","professional/managerial",">10","no","3","1","own","house","white","english"
"[50,75)","male","married","35-44","graduate study","professional/managerial",">10","yes","2","0","own","condominium","white","english"
"[25,30)","male","single","18-24","college graduate","professional/managerial",">10","not married","3","0","rent","apartment","asian","english"
"[25,30)","female","divorced","25-34","college (1-3 years)","clerical/service",">10","not married","4","1","own","mobile Home","hispanic","english"
"[10,15)","male","single","18-24","college graduate","clerical/service","4-6","not married","1","0","live with parents/family","house","white","english"
"[30,40)","female","married","45-54","grades 9-11","homemaker",">10","no","4","1",NA,"apartment","white","english"
"[30,40)","male","married","35-44","grade <9","sales",">10","yes","3","1","rent","apartment","hispanic","english"
"[50,75)","female","single","18-24","high school graduate","student",">10","not married","3","0","live with parents/family","house","white","english"
"[50,75)","female","single","18-24","high school graduate","student",">10","not married","6","0","rent","other","white","english"
"[0,10)","female","single","14-17",NA,"student","4-6","not married","4","2","live with parents/family","house","hispanic","english"
"[40,50)","female","divorced","35-44","graduate study","professional/managerial",">10","not married","1","0","own","house","white","english"
"75+","female","married","25-34","college graduate","professional/managerial","7-10","yes","3","1","own","house","white","english"
"[25,30)","female","single","25-34","college (1-3 years)","professional/managerial",">10","not married","1","1","own","house","white","english"
"[50,75)","male","married","65+","college graduate","retired",">10","no","2","0","own","house","white","english"
"75+","male","married","45-54","college graduate","professional/managerial",">10","yes","2","0","own","house","white",NA
"[0,10)","male","single","14-17","grade <9","student",">10","not married","3","1","live with parents/family","condominium","hispanic","english"
"[20,25)","male","married","25-34","college (1-3 years)",NA,">10","yes","2","0","rent","condominium","white","english"
"[50,75)","male","married","55-64","college (1-3 years)","professional/managerial",">10","yes","3","0","own","house","white","english"
"[40,50)","male","divorced","45-54","high school graduate","laborer","7-10","not married","4","1","rent","house","white","english"
"75+","male","married","25-34","college (1-3 years)","professional/managerial","7-10","yes","4","2","rent","house","white","english"
"75+","male","married","55-64","college graduate","professional/managerial",">10","yes","2","0","own","house","white","english"
"[50,75)","male","married","55-64","graduate study","professional/managerial",">10","yes","3","1","own","house","white","english"
"[30,40)","female","cohabitation","25-34","college (1-3 years)","laborer",">10","not married","2","0","rent","apartment","white","english"
"[40,50)","male","married","25-34","college (1-3 years)","laborer",">10","yes","2","0","own","house","white","english"
"75+","male","married","55-64","graduate study","retired",">10","no","2","0","own","house","white","english"
"[50,75)","male","single","18-24","high school graduate","professional/managerial",">10","not married","3","0","rent","condominium","white","english"
"[30,40)","male","married","45-54",NA,"sales",">10","yes","4","2","own","house","white","english"
"[50,75)","male","married","45-54","graduate study","professional/managerial",">10","no","2","1","own","house","black","english"
"75+","male","single","14-17","grades 9-11","clerical/service",">10","not married","4","2","live with parents/family","house","white","english"
"[50,75)","male","married","55-64","college graduate","professional/managerial",">10","no","2","0","own","house","white","english"
"75+","male","married","65+","college (1-3 years)","retired",">10","yes","2","0","own","house","white","english"
"75+","male","married","55-64","college (1-3 years)","professional/managerial",">10","yes","2","0","rent","house","white","english"
"[20,25)","male","single","25-34","college (1-3 years)","student",">10","not married","4","0","rent","house","white","english"
"75+","male","single","18-24","college (1-3 years)","laborer",">10","not married","3","0","live with parents/family","house","white","english"
"[50,75)","male","married","45-54","graduate study","professional/managerial",">10","not married","3","0","own","house","black","english"
"[25,30)","male","single","25-34","graduate study","professional/managerial",">10","not married","2","0","rent","apartment","white","english"
"[40,50)","male","married","45-54","high school graduate","retired",">10","yes","3","0","own","house","white","english"
"75+","female","married","65+","college (1-3 years)","retired",">10","no","3","0","own","house","white","english"
"75+","male","married","35-44","graduate study","professional/managerial",">10","yes","3","1","own","house","white","english"
"[25,30)","male","married","65+","college graduate","retired",">10","no","2","0","own","house","white","english"
"[30,40)","female","divorced","55-64","high school graduate","clerical/service",NA,"not married","1","0","own","other","white","english"
"[50,75)","male","married","55-64","college (1-3 years)","professional/managerial",">10","yes","3","1","own","house","white","english"
"75+","male","married","35-44","college graduate","sales",">10","yes","4","2","own","house","white","english"
"75+","male","married","35-44","graduate study","professional/managerial",">10","yes","2","0","own","house","white","english"
"[50,75)","male","married","35-44","graduate study","professional/managerial",">10","yes","4","2","own","house","white","english"
"75+","male","married","25-34","graduate study","professional/managerial",">10","yes","2","0","own","house","american indian","english"
"[20,25)","male","cohabitation","18-24","high school graduate","laborer","1-3","not married","4","0","rent","apartment","white","english"
"75+","male","married","35-44","college graduate","professional/managerial",">10","yes","4","1","own","house","white","english"
"[40,50)","male","married","55-64","college graduate","retired",">10","yes","4","0","own","house","white","english"
"[40,50)","female","married","25-34","high school graduate","professional/managerial","4-6","no","4","2","rent","apartment","white","english"
"[50,75)","male","married","25-34","college (1-3 years)","professional/managerial","7-10","yes","4","2","own","house","white","english"
"[50,75)","male","married","45-54","college (1-3 years)","professional/managerial",">10","no","2","0","own","house","white","english"
"[0,10)","male","divorced","35-44","graduate study","unemployed","4-6","not married","1","0","rent","house","white","english"
"[10,15)","male","divorced","65+","grades 9-11","retired",">10","not married","1","0","own","house","white","english"
"[20,25)","female","divorced","45-54","high school graduate","clerical/service",">10","not married",NA,"0","own","house","hispanic","english"
"[30,40)","male","married","65+","high school graduate","retired",">10","no","2","0","own","house","white","english"
"[15,20)","female","single","18-24","college (1-3 years)","professional/managerial",">10","not married","6","1","live with parents/family","house","white","english"
"[20,25)","male","married","65+","college (1-3 years)","retired",NA,"no","2","0","own","condominium","white","english"
"[20,25)","female","widowed","65+","high school graduate","clerical/service",">10","not married","1","0","own","house","white","english"
"[25,30)","male","single","18-24","college (1-3 years)","professional/managerial",">10","not married","1","0","rent","house","white","english"
"[10,15)","female","widowed","35-44","high school graduate","clerical/service",NA,"not married","5","3","rent","apartment","white","english"
"[30,40)","female","divorced","55-64","college (1-3 years)","homemaker",">10","not married","4","0","own","house","white","english"
"[30,40)","female","married","25-34","college (1-3 years)","sales",">10","yes","3","1","rent","apartment","white","english"
"[50,75)","female","divorced","35-44","graduate study","professional/managerial",">10","not married","1","0","own","condominium","white","english"
"[30,40)","male","married","25-34","high school graduate","laborer",">10","yes","4","2","rent","other","white","english"
"[0,10)","female","single","65+","graduate study","retired",">10","not married","2","0","own","house","white","english"
"[50,75)","female","married","45-54","college (1-3 years)","homemaker",">10","yes","5","1","own","house","white","english"
"[40,50)","female","married","45-54","college (1-3 years)","homemaker","7-10","yes","4","2","rent","condominium","black","english"
"[25,30)","female","married","25-34","college (1-3 years)","homemaker","7-10","no","5","0","rent","house","white","english"
"75+","female","married","35-44","college graduate","sales",">10","yes","4","1","own","house","white","english"
"[30,40)","female","single","25-34","college graduate","professional/managerial",">10","not married","1","0","rent","condominium","white","english"
"[20,25)","female","married","55-64","college (1-3 years)","retired",">10","no","3","0","own","house","white","english"
"[50,75)","female","married","25-34","college graduate","professional/managerial",">10","yes","4","2","own","house","white","english"
"[20,25)","female","divorced","45-54","college (1-3 years)","sales",NA,"not married","1","0","rent",NA,"white","english"
"[15,20)","male","single","18-24","college (1-3 years)","student",">10","not married","3","0","live with parents/family","house","white","english"
"[40,50)","male","married","35-44","college (1-3 years)","professional/managerial",">10","no","4","2","own","house","white","english"
"[50,75)","female","single","18-24","college (1-3 years)","student",">10","not married",NA,"0","live with parents/family","house","white","english"
"[30,40)","male","married","65+","college (1-3 years)","retired",">10","no",NA,"0","own","house","white","english"
"[50,75)","female","married","65+","graduate study","retired",NA,"no","2","0","own","condominium","white","english"
"75+","female","married","25-34","college graduate","professional/managerial",">10","yes","4","2","own","house","other","other"
"75+","male","single","18-24","college (1-3 years)","sales",">10","not married","3","0","live with parents/family","house","white","english"
"75+","male","single","18-24","grades 9-11","clerical/service","1-3","not married","4","0","live with parents/family","house","white","english"
"[0,10)","male","single","18-24","grades 9-11","student","1-3","not married","4","0","live with parents/family","house","white","english"
"[50,75)","male","single","25-34","college graduate","professional/managerial",">10","not married","2","0","own","house","white","english"
"[50,75)","male","married","25-34","college graduate","professional/managerial",">10","yes","2","0","own","house","white","english"
"[0,10)","female","single","18-24","college (1-3 years)","student","4-6","not married","5","2","own","house","white","english"
"[25,30)","male","single","18-24","high school graduate","student","7-10","not married","3","0","rent","house","white","english"
"[0,10)","male","single","18-24","high school graduate","military","4-6","not married",NA,"0","live with parents/family","house","white","english"
"75+","female","married","45-54","college (1-3 years)","professional/managerial",">10","yes","2","0","own","house","white","english"
"[20,25)","female","married","55-64","college graduate","military",">10","no","2","0","own","house","white","english"
"[15,20)","male","single","45-54","college graduate","professional/managerial",">10","not married","1","0","rent","apartment","white","english"
"75+","male","married","45-54","graduate study","professional/managerial",">10","no","2","0","own","house","white","english"
"[0,10)","female","widowed","65+","college (1-3 years)","professional/managerial",">10","not married",NA,"0","own","house","white","english"
